,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,DUPLICATION AGREED,ORIGINAL MSG
83,621f79e143b89009366c84c2,2021-07-13T22:00:00.000Z,Huxwell#2172,Suga#8514,for attending the Orientation/AMA today!,0,0,621f79e143b89009366c84bb,Tam2140#9361,Vyvy-vi#5040,calazki#3961,0.77,False,for attending the Orientation/AMA today!
89,621f79e143b89009366c84c8,2021-07-13T22:00:00.000Z,nic#9212,Suga#8514,for attending the Orientation/AMA today!,0,0,621f79e143b89009366c84ba,Tam2140#9361,Vyvy-vi#5040,calazki#3961,0.83,False,for attending the Orientation/AMA today!
93,621f79e143b89009366c84cc,2021-07-13T22:00:00.000Z,Mount Manu#3530,Huxwell#2172,for the onboarding session and @Mount Manu for adding up on the definition of commons,0,0,621f79e143b89009366c84bd,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,7.27,False,for the onboarding session and @Mount Manu for adding up on the definition of commons
96,621f79e143b89009366c84cf,2021-07-14T22:00:00.000Z,"griff (💜, 💜)#8888",Juankbell#7458,for hacking until late hours the final touches of the IH distribution so that we can be ready for launching the hatch! You rock guys,621f79e143b89009366c846f,621f79e143b89009366c84b7,0,AmwFund#0979,bends#3537,shawn#7046,19.9,False,for hacking until late hours the final touches of the IH distribution so that we can be ready for launching the hatch! You rock guys
105,621f79e143b89009366c84d8,2021-07-14T22:00:00.000Z,"griff (💜, 💜)#8888",karmaticacid#1218,for staying up to the wee hours working on the IH distribution so we could Hatch today! 🎉,621f79e143b89009366c846f,0,621f79e143b89009366c84cf,AmwFund#0979,bends#3537,shawn#7046,13.6,False,for staying up to the wee hours working on the IH distribution so we could Hatch today! 🎉
108,621f79e143b89009366c84dd,2021-07-15T22:00:00.000Z,iviangita#3204,storypup#2167,for auditing this channel and making sure those that no one misses out on getting praise they deserve.,0,621f79e143b89009366c8473,0,Tam2140#9361,bends#3537,divine_comedian#5493,10.8,False,for auditing this channel and making sure those that no one misses out on getting praise they deserve.
123,621f79e143b89009366c84ec,2021-07-15T22:00:00.000Z,iviangita#3204,iviangita#3204,for all her work on the praise,0,621f79e143b89009366c8473,621f79e143b89009366c8473,Tam2140#9361,bends#3537,divine_comedian#5493,6.97,False,for all her work on the praise
125,621f79e143b89009366c84ee,2021-07-15T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for making the params parties work out,0,0,621f79e143b89009366c852b,Usua◎ Silver#2618,liviade#1387,shawn#7046,15.83,False,for making the params parties work out
128,621f79e143b89009366c84f1,2021-07-15T22:00:00.000Z,Nuggan#5183,iviangita#3204,for making the params parties work out,0,0,621f79e143b89009366c8530,Usua◎ Silver#2618,liviade#1387,shawn#7046,52.63,False,for making the params parties work out
132,621f79e143b89009366c84f5,2021-07-15T22:00:00.000Z,"sem(🌸,🐝)#0161",iviangita#3204,for testing the hatch and doing a side deployment,0,0,621f79e143b89009366c8570,Usua◎ Silver#2618,bends#3537,shawn#7046,15.13,False,for testing the hatch and doing a side deployment
139,621f79e143b89009366c84fc,2021-07-15T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for ,0,0,621f79e143b89009366c84eb,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,0.7,False,for 
143,621f79e143b89009366c8500,2021-07-15T22:00:00.000Z,markop#2007,iviangita#3204,for all of their contributions to comms,0,0,621f79e143b89009366c8529,Usua◎ Silver#2618,liviade#1387,calazki#3961,2.83,False,for all of their contributions to comms
145,621f79e143b89009366c8502,2021-07-15T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for all of their contributions to comms,0,0,621f79e143b89009366c841e,Usua◎ Silver#2618,liviade#1387,calazki#3961,49.7,False,for all of their contributions to comms
147,621f79e143b89009366c8504,2021-07-15T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for all of their contributions to comms,0,0,621f79e143b89009366c85ff,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,4.1,False,for all of their contributions to comms
157,621f79e143b89009366c850e,2021-07-15T22:00:00.000Z,natesuits#4789,iviangita#3204,for the Hatcher guidebook,0,0,621f79e143b89009366c8585,Usua◎ Silver#2618,tigeroid#2951,shawn#7046,7.7,False,for the Hatcher guidebook
161,621f79e143b89009366c8512,2021-07-15T22:00:00.000Z,Vyvy-vi#5040,iviangita#3204,for the Discord onboarding journey and always sharing ideas on how to improve,621f79e143b89009366c850b,0,0,osycross(🦎🦎)#5943,liviade#1387,Mettodo#7010,3.93,False,for the Discord onboarding journey and always sharing ideas on how to improve
162,621f79e143b89009366c8513,2021-07-15T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for the long verification hack session for the final IH list,0,0,621f79e143b89009366c84a9,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,5.33,False,for the long verification hack session for the final IH list
165,621f79e143b89009366c8516,2021-07-15T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for the long verification hack session for the final IH list,621f79e143b89009366c846f,0,0,AmwFund#0979,bends#3537,shawn#7046,21.43,False,for the long verification hack session for the final IH list
168,621f79e143b89009366c8519,2021-07-15T22:00:00.000Z,liviade#1387,iviangita#3204,for the Impact Hour spreadsheet,0,0,621f79e143b89009366c8514,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,51.5,False,for the Impact Hour spreadsheet
171,621f79e143b89009366c851c,2021-07-15T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for the Impact Hour spreadsheet,0,0,621f79e143b89009366c8521,AmwFund#0979,bends#3537,shawn#7046,10.5,False,for the Impact Hour spreadsheet
173,621f79e143b89009366c851e,2021-07-15T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for all the work they did with the forum posts and all the dashboard configuration stuff,0,0,621f79e143b89009366c8466,Usua◎ Silver#2618,Vyvy-vi#5040,calazki#3961,30.8,False,for all the work they did with the forum posts and all the dashboard configuration stuff
174,621f79e143b89009366c851f,2021-07-15T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for all the work they did with the forum posts and all the dashboard configuration stuff,0,0,621f79e143b89009366c859a,Usua◎ Silver#2618,liviade#1387,shawn#7046,15.97,False,for all the work they did with the forum posts and all the dashboard configuration stuff
176,621f79e143b89009366c8521,2021-07-15T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for the insane amount of work they did with the praise analysis and Impact Hours,621f79e143b89009366c846f,0,0,AmwFund#0979,bends#3537,shawn#7046,37.1,False,for the insane amount of work they did with the praise analysis and Impact Hours
187,621f79e143b89009366c852c,2021-07-15T22:00:00.000Z,natesuits#4789,iviangita#3204,"for jumping in params, giving feedback and asking questions",0,0,621f79e143b89009366c8539,Usua◎ Silver#2618,tigeroid#2951,shawn#7046,16.8,False,"for jumping in params, giving feedback and asking questions"
193,621f79e143b89009366c8532,2021-07-15T22:00:00.000Z,jukren#8803,Mount Manu#3530,for all their fantastic Paris tips for this upcoming week,621f79e143b89009366c84b4,0,621f79e143b89009366c84b4,osycross(🦎🦎)#5943,bends#3537,calazki#3961,6.9,False,for all their fantastic Paris tips for this upcoming week
195,621f79e143b89009366c8534,2021-07-15T22:00:00.000Z,jukren#8803,Mount Manu#3530,for answering a bunch of questions about Paris and making it possible for people to come and for all the support,0,621f79e143b89009366c8532,621f79e143b89009366c8617,osycross(🦎🦎)#5943,bends#3537,calazki#3961,2.83,False,for answering a bunch of questions about Paris and making it possible for people to come and for all the support
196,621f79e143b89009366c8535,2021-07-15T22:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for all their work on Params and for their forum posts,0,0,621f79e143b89009366c8466,Usua◎ Silver#2618,Vyvy-vi#5040,calazki#3961,10.8,False,for all their work on Params and for their forum posts
197,621f79e143b89009366c8536,2021-07-15T22:00:00.000Z,markop#2007,Mount Manu#3530,for all their work on Params and for their forum posts,0,0,621f79e143b89009366c84ef,Usua◎ Silver#2618,liviade#1387,calazki#3961,20.43,False,for all their work on Params and for their forum posts
198,621f79e143b89009366c8537,2021-07-15T22:00:00.000Z,VitorNunes#0090,Mount Manu#3530,for all their work on Params and for their forum posts,0,621f79e143b89009366c84f0,621f79e143b89009366c852d,AmwFund#0979,bends#3537,calazki#3961,1.73,False,for all their work on Params and for their forum posts
199,621f79e143b89009366c8538,2021-07-15T22:00:00.000Z,Nuggan#5183,Mount Manu#3530,for all their work on Params and for their forum posts,0,0,621f79e143b89009366c8530,Usua◎ Silver#2618,liviade#1387,shawn#7046,53.63,False,for all their work on Params and for their forum posts
201,621f79e143b89009366c853a,2021-07-15T22:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for all their work on Params and for their forum posts,0,0,621f79e143b89009366c84f4,AmwFund#0979,bends#3537,shawn#7046,8.97,False,for all their work on Params and for their forum posts
202,621f79e143b89009366c853b,2021-07-15T22:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,for leading Comms like a champ,621f79e143b89009366c8524,0,621f79e143b89009366c8524,AmwFund#0979,Vyvy-vi#5040,shawn#7046,8.57,False,for leading Comms like a champ
203,621f79e143b89009366c853c,2021-07-15T22:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for staying extra late to work on the praise distribution,621f79e143b89009366c846f,0,621f79e143b89009366c8521,AmwFund#0979,bends#3537,shawn#7046,9.27,False,for staying extra late to work on the praise distribution
204,621f79e143b89009366c853d,2021-07-15T22:00:00.000Z,VitorNunes#0090,Mount Manu#3530,for staying extra late to work on the praise distribution,621f79e143b89009366c84d0,0,621f79e143b89009366c84d0,AmwFund#0979,bends#3537,calazki#3961,7.9,False,for staying extra late to work on the praise distribution
212,621f79e143b89009366c8545,2021-07-15T22:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,"for being an awesome leader, which some have called a \""Doge-loving hippy hacker [that] steals crypto before bad guys can\""",621f79e143b89009366c84f4,0,621f79e143b89009366c84f4,AmwFund#0979,bends#3537,shawn#7046,11.8,False,"for being an awesome leader, which some have called a \""Doge-loving hippy hacker [that] steals crypto before bad guys can\"""
215,621f79e143b89009366c8548,2021-07-15T22:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,for being an awesome leader,0,0,621f79e143b89009366c8524,AmwFund#0979,Vyvy-vi#5040,shawn#7046,3.13,False,for being an awesome leader
216,621f79e143b89009366c8549,2021-07-15T22:00:00.000Z,David (please DYOR...)#4116,Mount Manu#3530,for being an awesome dude,0,0,621f79e143b89009366c8504,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,2.0,False,for being an awesome dude
219,621f79e143b89009366c854c,2021-07-15T22:00:00.000Z,"sem(🌸,🐝)#0161",Mount Manu#3530,for being a good leader,0,0,621f79e143b89009366c850c,Usua◎ Silver#2618,bends#3537,shawn#7046,10.8,False,for being a good leader
223,621f79e143b89009366c8550,2021-07-15T22:00:00.000Z,anna-marie#8824,Mount Manu#3530,for forming an orientation group,0,0,621f79e143b89009366c84b9,Tam2140#9361,bends#3537,shawn#7046,13.43,False,for forming an orientation group
227,621f79e143b89009366c8554,2021-07-15T22:00:00.000Z,acidlazzer#5796,Mount Manu#3530,for attending the community call,0,0,621f79e143b89009366c8483,Usua◎ Silver#2618,liviade#1387,calazki#3961,4.77,False,for attending the community call
237,621f79e143b89009366c855e,2021-07-15T22:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for attending the community call,0,0,621f79e143b89009366c8488,Usua◎ Silver#2618,Vyvy-vi#5040,calazki#3961,3.03,False,for attending the community call
251,621f79e143b89009366c856c,2021-07-15T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for stewarding this community successfully into the Hatch,0,0,621f79e143b89009366c8585,Usua◎ Silver#2618,tigeroid#2951,shawn#7046,9.37,False,for stewarding this community successfully into the Hatch
266,621f79e143b89009366c857b,2021-07-15T22:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for being the heroes in finalizing all the details needed for us to hatch,621f79e143b89009366c846f,0,621f79e143b89009366c856d,AmwFund#0979,bends#3537,shawn#7046,12.47,False,for being the heroes in finalizing all the details needed for us to hatch
267,621f79e143b89009366c857c,2021-07-15T22:00:00.000Z,"sem(🌸,🐝)#0161",Mount Manu#3530,for being the heroes in finalizing all the details needed for us to hatch,0,0,621f79e143b89009366c8570,Usua◎ Silver#2618,bends#3537,shawn#7046,23.8,False,for being the heroes in finalizing all the details needed for us to hatch
268,621f79e143b89009366c857d,2021-07-15T22:00:00.000Z,ygg_anderson#4998,Mount Manu#3530,for being the heroes in finalizing all the details needed for us to hatch,621f79e143b89009366c8578,0,0,osycross(🦎🦎)#5943,bends#3537,divine_comedian#5493,11.6,False,for being the heroes in finalizing all the details needed for us to hatch
270,621f79e143b89009366c857f,2021-07-15T22:00:00.000Z,Tam2140#9361,Mount Manu#3530,for being the heroes in finalizing all the details needed for us to hatch,621f79e143b89009366c856a,0,621f79e143b89009366c856a,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,5.63,False,for being the heroes in finalizing all the details needed for us to hatch
272,621f79e143b89009366c8581,2021-07-15T22:00:00.000Z,iviangita#3204,Mount Manu#3530,for being the heroes in finalizing all the details needed for us to hatch,0,621f79e143b89009366c8579,0,Tam2140#9361,bends#3537,divine_comedian#5493,9.13,False,for being the heroes in finalizing all the details needed for us to hatch
274,621f79e143b89009366c8583,2021-07-15T22:00:00.000Z,VitorNunes#0090,Mount Manu#3530,for being the heroes in finalizing all the details needed for us to hatch,621f79e143b89009366c84d0,0,621f79e143b89009366c84d0,AmwFund#0979,bends#3537,calazki#3961,9.57,False,for being the heroes in finalizing all the details needed for us to hatch
281,621f79e143b89009366c8594,2021-07-15T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,621f79e143b89009366c858a,0,621f79e143b89009366c858a,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,0.33,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
285,621f79e143b89009366c8598,2021-07-15T22:00:00.000Z,nic#9212,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,0,0,621f79e143b89009366c858f,Tam2140#9361,Vyvy-vi#5040,calazki#3961,0.67,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
308,621f79e143b89009366c85b0,2021-07-16T22:00:00.000Z,iviangita#3204,"griff (💜, 💜)#8888",for spending the last 48 hours DEEP DIVING into the Praise Audit,0,621f79e143b89009366c8473,621f79e143b89009366c8473,Tam2140#9361,bends#3537,divine_comedian#5493,9.3,False,for spending the last 48 hours DEEP DIVING into the Praise Audit
317,621f79e143b89009366c85b9,2021-07-17T22:00:00.000Z,jukren#8803,liviade#1387,for welcoming us so beautifully in Paris 🌹🙌🏽,621f79e143b89009366c84b4,0,621f79e143b89009366c8617,osycross(🦎🦎)#5943,bends#3537,calazki#3961,2.1,False,for welcoming us so beautifully in Paris 🌹🙌🏽
331,621f79e143b89009366c85c7,2021-07-19T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for Twitter support and contributions 🙏🏽,621f79e143b89009366c8504,0,621f79e143b89009366c84de,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,4.77,False,for Twitter support and contributions 🙏🏽
332,621f79e143b89009366c85c8,2021-07-19T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for Twitter support and contributions 🙏🏽,621f79e143b89009366c8597,0,0,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,8.77,False,for Twitter support and contributions 🙏🏽
343,621f79e143b89009366c85e5,2021-07-22T22:00:00.000Z,"griff (💜, 💜)#8888",AmwFund#0979,for his ethcc & daoist talks,621f79e143b89009366c85cf,0,0,AmwFund#0979,bends#3537,shawn#7046,12.03,False,for his ethcc & daoist talks
349,621f79e143b89009366c85eb,2021-07-23T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for their support and contributions in Twitter - we've reached 1k followers! 🥳,0,0,621f79e143b89009366c84de,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,5.17,False,for their support and contributions in Twitter - we've reached 1k followers! 🥳
353,621f79e143b89009366c85ef,2021-07-23T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for their support and contributions in Twitter - we've reached 1k followers! 🥳,0,0,621f79e143b89009366c85c8,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,7.43,False,for their support and contributions in Twitter - we've reached 1k followers! 🥳
355,621f79e143b89009366c85f1,2021-07-23T22:00:00.000Z,Atotsm#5719,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,621f79e143b89009366c8593,0,0,osycross(🦎🦎)#5943,liviade#1387,Mettodo#7010,0.77,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
356,621f79e143b89009366c85f2,2021-07-23T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,621f79e143b89009366c858a,0,621f79e143b89009366c84de,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,2.17,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
363,621f79e143b89009366c85f9,2021-07-23T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn.,621f79e143b89009366c8597,0,0,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,3.1,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn.
364,621f79e143b89009366c85fa,2021-07-23T22:00:00.000Z,"sem(🌸,🐝)#0161",iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn.,0,621f79e143b89009366c859b,0,Usua◎ Silver#2618,bends#3537,shawn#7046,25.5,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn.
371,621f79e143b89009366c8601,2021-07-24T22:00:00.000Z,liviade#1387,anna-marie#8824,for getting up on stage and sharing so passionately about the TEC values and systems,0,0,621f79e143b89009366c85e3,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,27.17,False,for getting up on stage and sharing so passionately about the TEC values and systems
372,621f79e143b89009366c8602,2021-07-24T22:00:00.000Z,Tam2140#9361,anna-marie#8824,for getting up on stage and sharing so passionately about the TEC values and systems,0,0,621f79e143b89009366c8632,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,3.67,False,for getting up on stage and sharing so passionately about the TEC values and systems
374,621f79e143b89009366c8604,2021-07-24T22:00:00.000Z,Vyvy-vi#5040,markop#2007,for creating the twitter share card view.,0,621f79e143b89009366c85c9,0,osycross(🦎🦎)#5943,liviade#1387,Mettodo#7010,3.93,False,for creating the twitter share card view.
409,621f79e143b89009366c867b,2021-07-28T22:00:00.000Z,acidlazzer#5796,Juankbell#7458,for helping with Gravity's infographics! this is the mediation process for gravitons (still to polish some wording),0,0,621f79e143b89009366c865c,Usua◎ Silver#2618,liviade#1387,calazki#3961,50.37,False,for helping with Gravity's infographics! this is the mediation process for gravitons (still to polish some wording)
411,621f79e143b89009366c867d,2021-07-28T22:00:00.000Z,"griff (💜, 💜)#8888",divine_comedian#5493,for making an amazing TEC gathering in Paris possible,621f79e143b89009366c8613,0,0,AmwFund#0979,bends#3537,shawn#7046,13.0,False,for making an amazing TEC gathering in Paris possible
412,621f79e143b89009366c867e,2021-07-28T22:00:00.000Z,jukren#8803,divine_comedian#5493,for always being quick and responsive during our stay in paris and staying on top of the chaos,0,0,621f79e143b89009366c8617,osycross(🦎🦎)#5943,bends#3537,calazki#3961,3.67,False,for always being quick and responsive during our stay in paris and staying on top of the chaos
415,621f79e143b89009366c8681,2021-07-28T22:00:00.000Z,Tam2140#9361,divine_comedian#5493,for hodling down the fort at the TEC table at EthCC and spreading the word,0,0,621f79e143b89009366c8632,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,4.33,False,for hodling down the fort at the TEC table at EthCC and spreading the word
416,621f79e143b89009366c8682,2021-07-28T22:00:00.000Z,"griff (💜, 💜)#8888",divine_comedian#5493,for speaking at the conferences last week,621f79e143b89009366c85cf,0,621f79e143b89009366c867d,AmwFund#0979,bends#3537,shawn#7046,3.5,False,for speaking at the conferences last week
418,621f79e143b89009366c8684,2021-07-28T22:00:00.000Z,liviade#1387,divine_comedian#5493,for speaking at the conferences last week,0,0,621f79e143b89009366c85e3,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,17.5,False,for speaking at the conferences last week
425,621f79e143b89009366c868b,2021-07-28T22:00:00.000Z,markop#2007,divine_comedian#5493,for their work building to the commons config dashboard,0,0,621f79e143b89009366c865e,Usua◎ Silver#2618,liviade#1387,calazki#3961,52.5,False,for their work building to the commons config dashboard
439,621f79e143b89009366c8699,2021-07-28T22:00:00.000Z,karmaticacid#1218,liviade#1387,for holding the grounds while most of us were away,0,0,621f79e143b89009366c8677,Usua◎ Silver#2618,liviade#1387,shawn#7046,33.17,False,for holding the grounds while most of us were away
446,621f79e143b89009366c86a0,2021-07-28T22:00:00.000Z,DanKnobelsdorf#0326,Zeptimus#3359,"for all the work on the trusted seed changing everyadress anyone need this whole time very huge praise its beeing a long journey doing unseen work, thanks🙏 🙏",0,0,621f79e143b89009366c8635,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,7.0,False,"for all the work on the trusted seed changing everyadress anyone need this whole time very huge praise its beeing a long journey doing unseen work, thanks🙏 🙏"
447,621f79e143b89009366c86a1,2021-07-28T22:00:00.000Z,liviade#1387,Zeptimus#3359,"for all the effort on the decision process, question our own systems will make them more robust💪",0,621f79e143b89009366c84f9,0,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,31.77,False,"for all the effort on the decision process, question our own systems will make them more robust💪"
454,621f79e143b89009366c86a8,2021-07-28T22:00:00.000Z,anna-marie#8824,liviade#1387,for the support she continues to offer to the TEC community!,0,0,621f79e143b89009366c86a7,Tam2140#9361,bends#3537,shawn#7046,2.43,False,for the support she continues to offer to the TEC community!
460,621f79e143b89009366c86c0,2021-07-29T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,621f79e143b89009366c858a,0,621f79e143b89009366c84de,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,2.17,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
461,621f79e143b89009366c86c1,2021-07-29T22:00:00.000Z,innov8tor3#3988,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,0,621f79e143b89009366c8596,0,Tam2140#9361,tigeroid#2951,shawn#7046,18.93,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
462,621f79e143b89009366c86c2,2021-07-29T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,621f79e143b89009366c8597,0,0,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,1.43,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
