index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,SCORE 5,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DUPLICATE ID 5,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,DISMISSED 5,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,QUANTIFIER 5 USERNAME,AVG SCORE,SPREAD
10,63a2a3054287630828df0608,2022-12-21T06:09:09.406Z,GideonRo#3175,innov8tor3#3988,"for strong listening and thinking skills, but also stepping into connectivity, seeing that folk having effective dialogue with stewards in the right place to make a difference begins to make any organisation tick along more effectively.",8,21,8,34,13,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,16.8,26
14,63a47a874287630828df064e,2022-12-22T15:40:55.958Z,divine_comedian#5493,enti#1546,"for deploying LASERTAG on mainnet, we now can access funds sent from Giveth donations and more things on Ethereum!",34,13,8,34,13,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,20.4,26
20,63a616bc4287630828df0690,2022-12-23T20:59:40.597Z,r-x-x#8344,GideonRo#3175,for fixing a roles configuration problem in Discord that was preventing Clarity from syncing threads with Discord,8,21,8,34,13,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,16.8,26
11,63a34b0f4287630828df0617,2022-12-21T18:06:07.056Z,Sha#6179,GideonRo#3175,for helping to think through how to use the curation service for interest groups,5,8,8,21,5,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,9.4,16
5,63a216f24287630828df05d4,2022-12-20T20:11:30.107Z,r-x-x#8344,"Griff (💜,💜)#8888",for setting up the issues channel :-D,5,5,8,21,13,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,10.4,16
1,63a102e94287630828df059c,2022-12-20T00:33:45.659Z,natesuits#4789,GideonRo#3175,for moderating the first Voting Systems Interest Group meeting today and leading a valuable discussion,8,21,8,21,8,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,13.2,13
13,63a39cdd4287630828df0635,2022-12-21T23:55:09.475Z,divine_comedian#5493,pat.zip (TE Academy)#5266,for sending me a reminder and keep me from forgetting to quantify praises 🎉,3,8,8,13,8,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,8.0,10
0,63a102b64287630828df058d,2022-12-20T00:32:54.849Z,natesuits#4789,GideonRo#3175,for his leadership in starting up the Voting Systems Interest Group and thinking through the processes for running it.,13,13,13,21,13,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,14.6,8
4,63a1030c4287630828df05b9,2022-12-20T00:34:20.366Z,r-x-x#8344,GideonRo#3175,for attending the first Voting Systems Interest Group meeting today,3,1,1,8,1,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,2.8,7
3,63a103094287630828df05b2,2022-12-20T00:34:17.930Z,enti#1546,GideonRo#3175,for attending the first Voting Systems Interest Group meeting today,3,1,1,8,1,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,2.8,7
2,63a103084287630828df05ab,2022-12-20T00:34:16.931Z,GideonRo#3175,GideonRo#3175,for attending the first Voting Systems Interest Group meeting today,3,1,1,8,1,,,,,,False,False,False,False,False,lee0007#8152,Mettodo#7010,Nuggan#5183,r33pich33p#6906,Zeptimus#3359,2.8,7
