USERNAME,DISCRIMINATOR,DISCORD_ID,AVATAR
Don,6843,355340002479308812,d0100082f30eddd1cff9fa96013eb1c3
sinsan,3757,356714469843271680,
Emad,9608,356816929031192586,89709de1521296a0cadad8c92160b331
NameoCeo | LunArt,0008,357713826902179840,0a1ac5df065cc599487cc182306bca24
The Rorschach Imperative,0440,359120297074360321,4773029793ed8c41319eef68d1334082
ogami,3242,359445571226042368,ec27beee713dc32f73745257a1ec1115
CryptoNorma,0448,361543204480352276,bb2010fa0eb9713b68e7b16a2558087d
chazeaul,6521,361927442744606721,ce4ed516f3afd0dbdf7b135a749dbdb0
Fortunov | Ecosystem at AN,6678,362186260338704386,31aafbdfe437858c292ffa019d162c2e
charingane,1930,362705284029743105,4325fe9f3d7d2d48d6ef14a972ff1a80
corbanb.x,0001,363020515327213571,7316ce9c95d2fcffe88f9b88c8c7bdc4
lkngtn 🐝,1051,363774203960360961,bac846c6f28184a92958678b53c8d789
molecularzen,6290,363906857439461386,51e5bf51c00c698202a977675cc1ae0a
defileZebra,1770,364132009200582656,ae8602a635b3dc20c3612b52089ec582
willjgriff 🐝,6164,364770323473891329,7aebd7f8cd19da0b297381ae372af2eb
Buzzman (IST),4078,366145087341723648,ea213c2821df3a5e590f078cfb7f57db
Wöödy,7170,367005466967932928,03db5a07a279d06ee62e9676c35c9989
decap,9400,367343484254027778,382fc8292f93d4f0770abf232c4e6a1b
FutureMike,3316,367406809104777217,20cabe4b7f0874e800d42d0e168ddc22
metaverde,2503,367484103089455108,e938e9e279ba99d6f4872bca4d33ee27
doubleDown,1013,368591588517216267,ff42fd13ae9cd4ad70a1e119148d5c0c
zôÖma,1773,369142546019909634,0f478513364638aa7aebcca694de102b
joseacabrerav,5399,369284552763375617,633994a8a96d8efb39f7e3f43d0585e8
MantisClone,2619,369700858742571008,4357db7b74472da911b2e2616f7737c3
PostArchitekt,9993,369948954760314880,6fdd0b22a28d29db1cb5c09842f9f905
🐙 peth needs your eth,8052,370936911268806667,c5d04dcc8d04bada698a4d0df1b94b7d
logonaut.eth,9437,371363241512927232,6db4f0c706bd82172502c35559c105a2
bfa,7705,371606921733603329,23b91976fa83f5f1609c897302077b9b
WindOfChange,4180,371758662185910272,72b5ea0726cfa8ada417524871a2853e
CirKu17,3257,372367195591802888,63fd307a37fba191b88653d84b1f3823
dawg,6444,372372296289091586,606bc2653fc1643dcfe2a2b298c3b4c4
DW,5584,372531099500412938,0dedb73edbec87ec881b7d08f6cbd846
solelkin,7043,372813513061564416,94bbe8350908de1522ddc45f6a816312
Harold,5025,372832965639536660,1506a13f33b1b6dfe59dffb51367868d
Mathesh,9357,372877409302872084,b55fd17d4f8db30fdca7545a489ecdc7
ZER8🧠,9093,373871853019594752,0ab76041380ae397aaecd68017b9aaf1
DarrellDuane,8009,374266835409043461,aa5b80b0458895de9780bc649bb44c6e
wumbles,3693,376002082462892032,
pingster,8309,376581648822698044,34cdad69cbc4a2aabb62d8cd0d928851
fastmike,9662,376781016167219211,ee3f3b91a699737f40189c1c0c7156ed
Kris,8703,377359211144675330,376d6069a4f6429aed4868ceec23b59d
Bitcoinera,4922,377798496805191690,92c38c7ff62675da07320bfdb11017fd
J△MΞS,7637,377861327319990272,b1f936ff12aab763bf173861a70c8458
Allusian,7777,378296345372655618,54625130c1acbf5359deafb84f6f1343
Lin,3884,378444088900321301,119809992e285d06993c0b3580bbc1a5
veveto17,2534,378487386880868352,
Mettodo,7010,379260345228722176,8c32dc39634d530e713bcd2eaefcef57
JeffEmmett,7202,379773201405706260,ef3f53d5871426014623b8af291e195d
Verbal,8832,380356474293190666,c92ab0ada49c570e2f0319b29e0ea08c
Tom-Fr,7376,380406249503850506,
LinhT.Tran,8783,382224357138890753,573e94bbd2c19273c435868375fefeab
Dazuck,8068,382273717725560843,ce46288ef66479bb98fe4ea4858fc27f
Rahu,1947,383275586602270730,b44f7eba0c563274f99ae0235f824a8f
freiheit,6901,383882065164369923,a_57b6d4ae7bae71c26e326434ddaaa106
Matthew | Streamr 🐺,1614,383984479687016459,15791aa1e124825fe5111041baaf13d6
Clayton | UMA,3302,386752977177673728,8de737995780e30c1f0b6d6ef2652cca
GrimGreener,1534,386806103771709441,3c1ec7493794bc8ec54a466236e9b0ae
catman,2461,387024740440866817,2cfbf88fb049937d6b3e5840500bfe58
faalbane,7539,387385169750786058,6a2bc7088df4052c165b1884df59f73d
Julio Holon,2942,388090300612214806,038be8a4f4c6f190fa5b48ef5030011b
theseeker,0745,388161291669340162,cfd310d1c89181964887b61d11ffd328
kristofer,1475,388384931102982154,edd4d3475e05681b5feff22686f9dd46
Michal,7390,388415600801742848,734602ab8481acbc8ff13df9f9abb219
Kag,4245,388679223302291458,8f09a7abab23bb05d3546dd1d576a4df
Amrik,1313,390056980624048128,6a9639868c5d271bdf4bade3af63d0b9
danlessa,2831,390142533566464000,e5ee007ea675f838bd2330148492d4c3
Shanzz 🏴,5133,390855841013694464,1b7f4e73906484b3a0be43d0ee312fee
rumyi,4033,392105034453745676,5e373f75d4bb9bd6a3924f325538b5d8
PabloFM | NFT-Crap,2890,392114912270483456,574c6d47fff91bc0f8a694bc7dec0f47
tonga,3112,392867630891139093,a_c7efa02768e96b95b3c5006604428213
Metaversatile,0001,394574647552770058,340e1e354afff1576161460b4c5c9a83
DanKnobelsdorf,0326,394919909454512138,b66916eb105b5ef364edec67d20bb6fb
ziz,8831,395213481907060747,
"griff (💜, 💜)",8888,395673197615513600,29a506011b5a6221f234c9ba91de6ef1
matrix(ch-matrixkang),7733,396209473397719040,d69f20d6b7f35e1fa5b91326ebc4a2c1
johann,1308,396397812037713924,2427a1547d9770429f692b00cf35d245
patrick,9609,396678417308844032,e37d12ca4256a39b99baa905b7b02445
feelingoodfeelingreat,0529,396729192835842048,34abeefcda11bed2f2a883d2d30b33ad
hodls,0001,397180061049946113,369499fa09711772f00f17a36c4ea0d4
paww lee,2087,397638784352518185,
mprados,4171,397809943690084363,3877447584373182e86e85e0dfc8a7a9
Thomas_R,7011,397833593126125571,615a4d476352db66fc2b9d740b4d9674
batmang,6178,397908298223058945,
Kurt Wagner,0937,397924069074403358,695dd74a1aa939d0d9524a6ea2a259e7
B.T,1023,398598786907373570,
Lovecoach,0556,398868728818827274,d4cf4d8b6e92a0bc596506318c084698
AleksDjuricic,1389,399280306433163264,e604744397e99184b79945f94f2b2923
rosseyre,4154,399295979813076992,72880bacb6b274bd5a3ff06ec3860240
hemlock22,0891,399669571763830784,
Dylan,5054,399729095342293003,
K.,9150,399887200457850890,e3dd753f408949ad2d3e2b47225dc7ca
ManuAlzuru🥑 | 𝘿𝙤𝙞𝙣𝙂𝙪𝙙,5047,399892650666229770,6286af0db0fba5c810d4104e78975197
Krrea,3097,400646509005373440,e34d8e1ef770ab74f75857058aea0f28
Demeisen,0424,400647479458267137,fec48fc84b83375e62a0cd844a44684c
DavidRM,8303,400707067624554507,5b0bea97639d0bbbf6d022da1371f3e1
NostradaMus,0048,400758989488390144,5b98f1cee6a4bd632db3f3826cbb33c5
Scott M3,7921,401223631050506240,1159436448774b5702dae3fb18908636
Bulletz4Breakfast,0312,401724703888375811,155c60e90a2496190ace8d1bdea6e4a9
CryptoDude,5999,402207618459893761,50e68866cb93546089fe58991bec1c1e
(Mr.V),3607,402387081915138049,beb97c757bb794d9d54f95dd9a38020d
nanoleak,1092,402700433983799297,
mehran,4414,403000196230938624,
snax,6922,403065718914154516,70ce3df5420b8b47ac7df579b19254d6
j4y,8310,403415824871849985,b89629a9d4feb6bcae430b37457994c0
huh.eth (Ben),5761,403443187190071306,0d9939da74bf2499d0b5f5816fe377e4
bernaka,9024,403579916383420418,48c0c5740cde25508bd8c7cb34ee1579
coyotespike,5872,403601495653875717,dc920b5e986f560228620a45d5434332
mvl,3880,403615524207984640,3ce36bbd80ee087848cf42147711cf96
Cavazinf[fitcash],2622,403704889080938497,275da8f132eb28880f6b7abbf0ab0ed8
jo-chemla,6253,403860308252426241,b94dff2c303a11e7176d809601f3c8aa
liminous,6322,403979015024672778,ce84c722d63eda0a661e9449394df748
neoTrex,9133,404619015584088065,77c763fe523ff051477a5d27aa768e07
willyfox,1178,404660802260566016,f884ac4c6f41c49de11bfd1be10b1668
eatingcompass,6913,404767335300464652,f556b271468d7e09e5d89b72db08a8c7
foodtrust,6550,405139425635598336,38234c3efa3dfd97ffb768f655e4cf7b
okiave,1328,405283125476982786,56f88ade1063edfef80c73a3c65dc8a9
tze42 | Minerva Wallet,7710,405828341653045260,1c12526eef7c659a432c5d66c50cbf3a
cirsteve,4164,405966370476392458,364cfa492352989c9411c0b289a5100a
Morad,8019,407130890624303105,
stephenreid321,9055,407297154596470785,e9d9cbc1d0105a59cd3ecb3cbd6ea347
TL,6222,407670275824549888,
commanderkeen,9895,408542025777020929,32ea0f31057981ab7a84dd11c0b652b9
GCF,3655,409774043168768008,5a4e75daf65c7e7ae99040bc1daba496
BlueMercutio,9966,409800392042479627,f5cf47177cb70d601be788f9a19ec940
Safi,1632,411236477851140098,2ed52c8d255253cd7ed37ae3cc7cb818
aleph0,2083,411440709812486144,c21f8474dbc38c00d331c1cbb009918b
bob371,4417,412431513582436363,1f3342d810178fdcfdca66c021914ac3
will,5710,412483297311064077,d7aa4b721961f0b927c1232cd75711b5
vicente.eth,4828,412633549737295883,b9370ad6d81fb729993ffbc00f8e697e
Peter (porobov.eth) 🤖,3488,412873985773142016,f90cdcb16f8766e52405029522a79ce8
emot,9939,412934482228936704,5e4539bedc5e341d10b075b1633ce9cf
[AZZ] Nijjaro,4925,412986000634150913,891c57609971aa661172d9060ee64ca2
raphabenoi,9708,414049147839053825,96f1e309fcdac24ca87e6b32e6caab05
meerkategral,7740,415013408006733828,814ddaecdbbd1c5692d6ad816c6a447a
MKMK,0001,415358390957637642,3c481affea995277e98cd2980fcf84dc
Rancho,0230,415674437866618900,80edcf3d26457c8343b6a91634384cbb
Lior,2514,415928275819298826,bdc26aa890acda8c5daf32ff3808fa7f
radish,8151,416404890017857537,
Jerome | freeos.io | freedao.io,6508,417258018879569920,23aa55b7581d7838e06c4c35aea90b75
alexbr9007,8909,417559426657157130,
natesuits,4789,417979381332443136,a39a4e02d29ac298a7b06608803e8054
emil,6800,418749316195418124,
matthewchaim,3288,419176321902575617,882801567cadff192c1584ed14b58754
NatalieCrue,1918,420591211007574016,d6e66c13878cbc21766eb24c88440c45
Gary Latta,3838,420651712488144898,c0e6e48c3ef49d825c2b90fb1c88915f
plankto,2610,421610447804825600,445be4a8884f0805a8d1403cd8aa431d
nathalia,0926,421698230087319558,6803e0f8a9aadb701dc8aeb1071f9bc2
BenC,4861,422144121680166913,caf00af6317d38af4cbf66101e9f6d6b
Felipe Novaes Rocha,2364,422776630256074783,63b9ea95120032f3dbb20224194dde0f
villybongo,9388,423147861841281034,9cdd3c091df56f14b33c5ebac63e2b11
ndaugreal,3566,424736165816434688,
Tao,4869,425109892739629057,
