,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,DISMISSAL AGREED,ORIGINAL MSG
297,621f79e243b89009366c8905,2021-08-12T22:00:00.000Z,iviangita#3204,iviangita#3204,for their great contributions to Comms,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,1.77,False,for their great contributions to Comms
303,621f79e243b89009366c890b,2021-08-12T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for being outdoors,False,False,True,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,2.0,False,for being outdoors
304,621f79e243b89009366c890c,2021-08-12T22:00:00.000Z,ygg_anderson#4998,iviangita#3204,for being outdoors,True,False,False,Sha#6179,acidlazzer#5796,Usua◎ Silver#2618,3.67,False,for being outdoors
324,621f79e243b89009366c8920,2021-08-12T22:00:00.000Z,ygg_anderson#4998,iviangita#3204,for being outdoors,True,False,True,Sha#6179,acidlazzer#5796,Usua◎ Silver#2618,0.1,False,for being outdoors
337,621f79e243b89009366c892d,2021-08-12T22:00:00.000Z,iviangita#3204,iviangita#3204,for all their work in making the Hatch happen,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,7.33,False,for all their work in making the Hatch happen
346,621f79e243b89009366c8936,2021-08-12T22:00:00.000Z,iviangita#3204,iviangita#3204,for praising a lot,True,False,True,innov8tor3#3988,Zeptimus#3359,enti#1546,4.33,False,for praising a lot
350,621f79e243b89009366c893a,2021-08-12T22:00:00.000Z,Tam2140#9361,iviangita#3204,for taking vacations,True,False,False,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,3.0,False,for taking vacations
358,621f79e243b89009366c8942,2021-08-12T22:00:00.000Z,iviangita#3204,iviangita#3204,for making the document on requesting/giving access to TEC accounts and updating every detail and being a really nice teammate,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,9.67,False,for making the document on requesting/giving access to TEC accounts and updating every detail and being a really nice teammate
409,621f79e243b89009366c8975,2021-08-12T22:00:00.000Z,iviangita#3204,iviangita#3204,for care and engagement,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,11.67,False,for care and engagement
437,621f79e243b89009366c89a4,2021-08-12T22:00:00.000Z,Ekeneodigwe#1502,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,acidlazzer#5796,Usua◎ Silver#2618,0.43,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
440,621f79e243b89009366c89a7,2021-08-12T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,AmwFund#0979,Tam2140#9361,divine_comedian#5493,0.67,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
443,621f79e243b89009366c89aa,2021-08-12T22:00:00.000Z,taxil#8577,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,acidlazzer#5796,Mettodo#7010,1.33,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
444,621f79e243b89009366c89ab,2021-08-12T22:00:00.000Z,mafer_cordovas#1034,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,Mount Manu#3530,kristofer#1475,2.0,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
455,621f79e243b89009366c89b6,2021-08-12T22:00:00.000Z,gijsspoor#0183,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,PhilH#1102,Zeptimus#3359,bends#3537,3.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
456,621f79e243b89009366c89b7,2021-08-12T22:00:00.000Z,Suga#8514,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,tigeroid#2951,Mettodo#7010,2.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
458,621f79e243b89009366c89b9,2021-08-12T22:00:00.000Z,Juankbell#7458,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,Mount Manu#3530,kristofer#1475,3.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
459,621f79e243b89009366c89ba,2021-08-12T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,1.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
473,621f79e243b89009366c89c9,2021-08-13T22:00:00.000Z,iviangita#3204,iviangita#3204,for Twitter support during the Hatch period 🙏🏼,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,7.17,False,for Twitter support during the Hatch period 🙏🏼
479,621f79e243b89009366c89d1,2021-08-15T22:00:00.000Z,iviangita#3204,iviangita#3204,for joining the Transparency WG sync call,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,0.67,False,for joining the Transparency WG sync call
483,621f79e243b89009366c89d5,2021-08-15T22:00:00.000Z,iviangita#3204,iviangita#3204,for working on the Twitter content plan this week,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,7.17,False,for working on the Twitter content plan this week
549,621f79e243b89009366c8a18,2021-08-19T22:00:00.000Z,Tam2140#9361,iviangita#3204,for taking vacation off,True,False,False,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,2.0,False,for taking vacation off
663,621f79e243b89009366c8a8a,2021-08-19T22:00:00.000Z,Suga#8514,Mount Manu#3530,for their articles in the forum ✍🏻,True,False,False,eduardovegap#0422,tigeroid#2951,Mettodo#7010,3.33,False,for their articles in the forum ✍🏻
696,621f79e243b89009366c8ab9,2021-08-20T22:00:00.000Z,Atotsm#5719,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,acidlazzer#5796,kristofer#1475,1.33,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
697,621f79e243b89009366c8aba,2021-08-20T22:00:00.000Z,OddName#8763,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,eduardovegap#0422,Mount Manu#3530,kristofer#1475,2.0,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
702,621f79e243b89009366c8abf,2021-08-20T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,AmwFund#0979,Tam2140#9361,divine_comedian#5493,0.67,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
704,621f79e243b89009366c8ac1,2021-08-20T22:00:00.000Z,Lin#3884,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,acidlazzer#5796,bends#3537,1.33,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
709,621f79e243b89009366c8ac6,2021-08-20T22:00:00.000Z,mafer_cordovas#1034,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,Mount Manu#3530,kristofer#1475,2.0,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
711,621f79e243b89009366c8ac8,2021-08-20T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,PhilH#1102,Parrachia#0450,divine_comedian#5493,1.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
712,621f79e243b89009366c8ac9,2021-08-20T22:00:00.000Z,eduardovegap#0422,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,PhilH#1102,Parrachia#0450,kristofer#1475,2.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
714,621f79e243b89009366c8acb,2021-08-20T22:00:00.000Z,Suga#8514,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,tigeroid#2951,Mettodo#7010,0.5,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
715,621f79e243b89009366c8acc,2021-08-20T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,AmwFund#0979,Tam2140#9361,divine_comedian#5493,0.67,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
716,621f79e243b89009366c8acd,2021-08-20T22:00:00.000Z,iviangita#3204,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,1.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
771,621f79e243b89009366c8b35,2021-08-23T22:00:00.000Z,natesuits#4789,liviade#1387,for joining softgov today 💙,False,True,False,innov8tor3#3988,Parrachia#0450,calazki#3961,0.67,False,for joining softgov today 💙
776,621f79e243b89009366c8b3a,2021-08-23T22:00:00.000Z,Juankbell#7458,liviade#1387,for joining softgov today 💙,False,False,True,eduardovegap#0422,Mount Manu#3530,kristofer#1475,1.33,False,for joining softgov today 💙
782,621f79e243b89009366c8b40,2021-08-23T22:00:00.000Z,eduardovegap#0422,liviade#1387,for joining softgov today 💙,False,True,True,PhilH#1102,Parrachia#0450,kristofer#1475,0.03,False,for joining softgov today 💙
785,621f79e243b89009366c8b43,2021-08-23T22:00:00.000Z,natesuits#4789,liviade#1387,for joining softgov today 💙,False,True,False,innov8tor3#3988,Parrachia#0450,calazki#3961,0.07,False,for joining softgov today 💙
820,621f79e243b89009366c8b70,2021-08-25T22:00:00.000Z,karmaticacid#1218,karmaticacid#1218,for contributing to the TEC hatch what's next post,True,False,False,innov8tor3#3988,acidlazzer#5796,bends#3537,5.33,False,for contributing to the TEC hatch what's next post
829,621f79e243b89009366c8b7a,2021-08-26T22:00:00.000Z,liviade#1387,iviangita#3204,for taking a week of vacay,True,False,False,Sha#6179,tigeroid#2951,Mettodo#7010,18.6,False,for taking a week of vacay
851,621f79e243b89009366c8b90,2021-08-26T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for all the CCD parameters forum posts,True,False,False,PhilH#1102,Parrachia#0450,divine_comedian#5493,2.0,False,for all the CCD parameters forum posts
873,621f79e243b89009366c8ba6,2021-08-26T22:00:00.000Z,iviangita#3204,iviangita#3204,for all of their contributions in comms,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,1.77,False,for all of their contributions in comms
877,621f79e243b89009366c8baa,2021-08-26T22:00:00.000Z,iviangita#3204,iviangita#3204,for a lot of everything that we do,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,1.33,False,for a lot of everything that we do
880,621f79e243b89009366c8bad,2021-08-26T22:00:00.000Z,ygg_anderson#4998,iviangita#3204,for doing so much,False,True,False,Sha#6179,acidlazzer#5796,Usua◎ Silver#2618,4.33,False,for doing so much
893,621f79e243b89009366c8bba,2021-08-26T22:00:00.000Z,iviangita#3204,iviangita#3204,for all the upcoming comms projects that Chuy is excited about,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,0.67,False,for all the upcoming comms projects that Chuy is excited about
940,621f79e243b89009366c8be9,2021-08-26T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for forum posting,True,False,False,PhilH#1102,acidlazzer#5796,calazki#3961,2.37,False,for forum posting
947,621f79e243b89009366c8bf0,2021-08-26T22:00:00.000Z,iviangita#3204,iviangita#3204,for being so wonderful and helpful all over,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,4.67,False,for being so wonderful and helpful all over
975,621f79e243b89009366c8c0c,2021-08-26T22:00:00.000Z,iviangita#3204,iviangita#3204,for setting up the foundation for Hubspot,True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,2.67,False,for setting up the foundation for Hubspot
991,621f79e243b89009366c8c1c,2021-08-26T22:00:00.000Z,iviangita#3204,iviangita#3204,"for her work on the database, Twitter and being the praise queen",True,False,False,innov8tor3#3988,Zeptimus#3359,enti#1546,5.33,False,"for her work on the database, Twitter and being the praise queen"
1023,621f79e243b89009366c8c3c,2021-08-26T22:00:00.000Z,durgadas#9280,iviangita#3204,"for joining the TEC Community Call 46 <:TEC:835016327542210560> 
https://youtu.be/u09Yq9zDNT8",False,True,False,Sha#6179,Parrachia#0450,Mettodo#7010,0.67,False,"for joining the TEC Community Call 46 <:TEC:835016327542210560> 
https://youtu.be/u09Yq9zDNT8"
1024,621f79e243b89009366c8c3d,2021-08-26T22:00:00.000Z,eduardovegap#0422,iviangita#3204,"for joining the TEC Community Call 46 <:TEC:835016327542210560> 
https://youtu.be/u09Yq9zDNT8",False,True,False,PhilH#1102,Parrachia#0450,kristofer#1475,0.37,False,"for joining the TEC Community Call 46 <:TEC:835016327542210560> 
https://youtu.be/u09Yq9zDNT8"
1027,621f79e243b89009366c8c40,2021-08-26T22:00:00.000Z,Juankbell#7458,iviangita#3204,"for joining the TEC Community Call 46 <:TEC:835016327542210560> 
https://youtu.be/u09Yq9zDNT8",False,False,True,eduardovegap#0422,Mount Manu#3530,kristofer#1475,1.33,False,"for joining the TEC Community Call 46 <:TEC:835016327542210560> 
https://youtu.be/u09Yq9zDNT8"
1036,621f79e243b89009366c8c49,2021-08-26T22:00:00.000Z,natesuits#4789,iviangita#3204,"for joining the TEC Community Call 46 <:TEC:835016327542210560> 
https://youtu.be/u09Yq9zDNT8",False,True,False,innov8tor3#3988,Parrachia#0450,calazki#3961,0.07,False,"for joining the TEC Community Call 46 <:TEC:835016327542210560> 
https://youtu.be/u09Yq9zDNT8"
1046,621f79e243b89009366c8c63,2021-08-26T22:00:00.000Z,Atotsm#5719,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,True,False,False,PhilH#1102,acidlazzer#5796,kristofer#1475,0.43,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
1058,621f79e243b89009366c8c70,2021-08-26T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,PhilH#1102,Parrachia#0450,divine_comedian#5493,1.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
1059,621f79e243b89009366c8c71,2021-08-26T22:00:00.000Z,ZER8🧠#9093,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,Mount Manu#3530,bends#3537,4.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
1064,621f79e243b89009366c8c76,2021-08-26T22:00:00.000Z,Suga#8514,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,tigeroid#2951,Mettodo#7010,0.5,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
1065,621f79e243b89009366c8c77,2021-08-26T22:00:00.000Z,"sem(🌸,🐝)#0161",iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,PhilH#1102,Mount Manu#3530,calazki#3961,3.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
1066,621f79e243b89009366c8c78,2021-08-26T22:00:00.000Z,Juankbell#7458,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,Mount Manu#3530,kristofer#1475,2.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
1067,621f79e243b89009366c8c79,2021-08-26T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,PhilH#1102,acidlazzer#5796,calazki#3961,2.67,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
1069,621f79e243b89009366c8c7b,2021-08-26T22:00:00.000Z,eduardovegap#0422,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,PhilH#1102,Parrachia#0450,kristofer#1475,2.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
1070,621f79e243b89009366c8c7c,2021-08-26T22:00:00.000Z,GCF#3655,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,eduardovegap#0422,acidlazzer#5796,kristofer#1475,1.33,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
1073,621f79e243b89009366c8c7f,2021-08-26T22:00:00.000Z,iviangita#3204,acidlazzer#5796,for be the best praise giver!,False,False,True,innov8tor3#3988,Zeptimus#3359,enti#1546,3.8,False,for be the best praise giver!
